18854:
 num     #instances         #bytes  class name (module)
 847:             8            128  org.apache.logging.log4j.core.lookup.DateLookup
 848:             8            128  org.apache.logging.log4j.core.lookup.EnvironmentLookup
 849:             8            128  org.apache.logging.log4j.core.lookup.EventLookup
 850:             8            128  org.apache.logging.log4j.core.lookup.JavaLookup
 851:             8            128  org.apache.logging.log4j.core.lookup.Log4jLookup
 852:             8            128  org.apache.logging.log4j.core.lookup.LowerLookup
 853:             8            128  org.apache.logging.log4j.core.lookup.MainMapLookup
 854:             8            128  org.apache.logging.log4j.core.lookup.MarkerLookup
 855:             8            128  org.apache.logging.log4j.core.lookup.ResourceBundleLookup
 856:             8            128  org.apache.logging.log4j.core.lookup.StructuredDataLookup
 857:             8            128  org.apache.logging.log4j.core.lookup.UpperLookup
 858:             4            128  org.slf4j.helpers.Reporter$Level
 859:             2            128  sun.security.jgss.SunProvider$ProviderService (java.security.jgss@21.0.6)
 860:             1            120  [Lio.opentelemetry.javaagent.shaded.io.opentelemetry.api.logs.Severity;
 861:             3            120  [Ljava.lang.invoke.LambdaForm$BasicType; (java.base@21.0.6)
 862:             3            120  com.google.common.base.Stopwatch
 863:             5            120  com.google.common.collect.ImmutableMapEntry
 864:             3            120  com.google.common.collect.RegularImmutableMap
 865:             3            120  com.google.protobuf.DescriptorProtos$OneofDescriptorProto
 866:             3            120  com.google.protobuf.GeneratedMessage$FieldAccessorTable$SingularStringFieldAccessor
 867:             5            120  com.google.protobuf.LazyStringArrayList
 868:             5            120  com.sun.org.apache.xerces.internal.util.PropertyState (java.xml@21.0.6)
 869:             5            120  com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$State (java.xml@21.0.6)
 870:             5            120  dev.openfeature.sdk.FlagValueType
 871:             3            120  dev.openfeature.sdk.ProviderEvaluation
 872:             5            120  dev.openfeature.sdk.ProviderState
 873:             5            120  io.grpc.ConnectivityState
 874:             5            120  io.grpc.Context$Key
 875:             5            120  io.grpc.MethodDescriptor$MethodType
 876:             3            120  io.grpc.internal.CallTracer
 877:             3            120  io.netty.buffer.ReadOnlyByteBuf
 878:             5            120  io.netty.handler.codec.http2.DefaultHttp2Connection$DefaultPropertyKey
 879:             5            120  io.netty.util.concurrent.FastThreadLocalRunnable
 880:             5            120  io.netty.util.concurrent.SingleThreadEventExecutor$4
 881:             5            120  io.netty.util.internal.ThreadExecutorMap$1
 882:             5            120  io.netty.util.internal.ThreadExecutorMap$2
 883:             5            120  io.netty.util.internal.logging.InternalLogLevel
 884:             5            120  io.opentelemetry.api.trace.SpanKind
 885:             3            120  io.opentelemetry.exporter.sender.okhttp.internal.OkHttpHttpSender
 886:             1            120  io.opentelemetry.javaagent.bootstrap.AgentClassLoader
 887:             5            120  io.opentelemetry.javaagent.bootstrap.InternalLogger$Level
 888:             5            120  io.opentelemetry.javaagent.shaded.instrumentation.api.semconv.network.internal.InternalNetworkAttributesExtractor
 889:             5            120  io.opentelemetry.javaagent.shaded.io.opentelemetry.api.trace.SpanKind
 890:             5            120  io.opentelemetry.javaagent.slf4j.simple.OutputChoice$OutputChoiceType
 891:             3            120  io.opentelemetry.sdk.internal.ComponentRegistry
 892:             5            120  io.opentelemetry.sdk.trace.ExtendedSdkTracer
 893:             3            120  java.lang.StackWalker (java.base@21.0.6)
 894:             5            120  java.lang.StringBuilder (java.base@21.0.6)
 895:             3            120  java.lang.invoke.BoundMethodHandle$Species_LI (java.base@21.0.6)
 896:             3            120  java.lang.module.Configuration (java.base@21.0.6)
 897:             1            120  java.lang.ref.Finalizer$FinalizerThread (java.base@21.0.6)
 898:             1            120  java.lang.ref.Reference$ReferenceHandler (java.base@21.0.6)
 899:             3            120  java.lang.reflect.ProxyGenerator$ProxyMethod (java.base@21.0.6)
 900:             3            120  java.net.Socket (java.base@21.0.6)
 901:             3            120  java.text.DigitList (java.base@21.0.6)
 902:             5            120  java.util.BitSet (java.base@21.0.6)
 903:             3            120  java.util.ResourceBundle$BundleReference (java.base@21.0.6)
 904:             5            120  java.util.concurrent.ConcurrentSkipListMap$Index (java.base@21.0.6)
 905:             5            120  java.util.regex.Pattern$Ques (java.base@21.0.6)
 906:             5            120  java.util.stream.StreamOpFlag$Type (java.base@21.0.6)
 907:             3            120  jdk.internal.loader.URLClassPath (java.base@21.0.6)
 908:             5            120  jdk.internal.math.FloatingDecimal$PreparedASCIIToBinaryBuffer (java.base@21.0.6)
 909:             1            120  jdk.internal.misc.InnocuousThread (java.base@21.0.6)
 910:             3            120  okhttp3.Dispatcher
 911:             3            120  okhttp3.internal.connection.RealConnectionPool
 912:             3            120  okhttp3.internal.connection.RealConnectionPool$cleanupTask$1
 913:             1            120  okio.AsyncTimeout$Watchdog
 914:             3            120  org.apache.logging.log4j.core.config.ConfigurationSource
 915:             5            120  org.apache.logging.log4j.core.pattern.PatternParser$ParserState
 916:             5            120  org.apache.logging.log4j.core.pattern.SimpleLiteralPatternConverter$StringValue
 917:             3            120  org.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedTimeZoneFormat
 918:             5            120  sun.reflect.generics.tree.FormalTypeParameter (java.base@21.0.6)
 919:             3            120  sun.util.resources.Bundles$BundleReference (java.base@21.0.6)
 920:             2            112  [Lcom.google.protobuf.DescriptorProtos$FieldOptions$OptionTargetType;
 921:             7            112  [Lio.opentelemetry.javaagent.shaded.instrumentation.api.instrumenter.ContextCustomizer;
 922:             7            112  [Lio.opentelemetry.javaagent.shaded.instrumentation.api.instrumenter.SpanLinksExtractor;
 923:             3            112  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@21.0.6)
 924:             1            112  [Ljava.lang.reflect.AccessFlag; (java.base@21.0.6)
 925:             5            112  [Ljava.lang.reflect.TypeVariable; (java.base@21.0.6)
 926:             2            112  [Ljava.nio.file.attribute.PosixFilePermission; (java.base@21.0.6)
 927:             1            112  [Ljava.time.LocalTime; (java.base@21.0.6)
 928:             2            112  [Ljavax.management.openmbean.OpenType; (java.management@21.0.6)
 929:             1            112  [Lnet.bytebuddy.ClassFileVersion;
 930:             1            112  [Lnet.bytebuddy.utility.JavaType;
 931:             3            112  [Lsun.invoke.util.ValueConversions$WrapperCache; (java.base@21.0.6)
 932:             2            112  com.google.protobuf.Descriptors$OneofDescriptor
 933:             1            112  dev.openfeature.contrib.providers.flagd.FlagdOptions
 934:             1            112  io.grpc.netty.NettyClientTransport$3
 935:             2            112  io.netty.channel.DefaultChannelHandlerContext
 936:             7            112  io.opentelemetry.javaagent.shaded.instrumentation.api.instrumenter.SpanSuppressors$ByContextKey
 937:             2            112  io.opentelemetry.javaagent.shaded.io.opentelemetry.context.internal.shaded.WeakConcurrentMap$WithInlinedExpunction
 938:             2            112  java.lang.invoke.BoundMethodHandle$Species_LLLLLL (java.base@21.0.6)
 939:             1            112  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLLLLLLLLLL (java.base@21.0.6)
 940:             2            112  java.nio.DirectIntBufferRU (java.base@21.0.6)
 941:             7            112  java.util.concurrent.atomic.AtomicReferenceArray (java.base@21.0.6)
 942:             7            112  jdk.proxy1.$Proxy0 (jdk.proxy1)
 943:             7            112  jdk.proxy1.$Proxy18 (jdk.proxy1)
 944:             1            112  net.bytebuddy.dynamic.loading.ByteArrayClassLoader
 945:             1            104  [Ljava.lang.reflect.ClassFileFormatVersion; (java.base@21.0.6)
 946:             1            104  [Lorg.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedFormat;
 947:             2            104  [Lsun.util.logging.PlatformLogger$Level; (java.base@21.0.6)
 948:             1            104  com.sun.crypto.provider.SunJCE (java.base@21.0.6)
 949:             1            104  com.sun.security.sasl.Provider (java.security.sasl@21.0.6)
 950:             1            104  com.sun.security.sasl.gsskerb.JdkSASL (jdk.security.jgss@21.0.6)
 951:             1            104  io.grpc.internal.ServerImpl
 952:             1            104  io.netty.channel.epoll.EpollServerSocketChannel
 953:             1            104  io.opentelemetry.sdk.trace.SdkSpan
 954:             1            104  jdk.internal.loader.ClassLoaders$AppClassLoader (java.base@21.0.6)
 955:             1            104  jdk.internal.loader.ClassLoaders$BootClassLoader (java.base@21.0.6)
 956:             1            104  jdk.internal.loader.ClassLoaders$PlatformClassLoader (java.base@21.0.6)
 957:             1            104  org.apache.logging.log4j.core.impl.MutableLogEvent
 958:             1            104  org.jcp.xml.dsig.internal.dom.XMLDSigRI (java.xml.crypto@21.0.6)
 959:             1            104  sun.net.www.protocol.file.FileURLConnection (java.base@21.0.6)
 960:             1            104  sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry (java.base@21.0.6)
 961:             1            104  sun.security.ec.SunEC (jdk.crypto.ec@21.0.6)
 962:             1            104  sun.security.jca.ProviderList$1 (java.base@21.0.6)
 963:             1            104  sun.security.jgss.SunProvider (java.security.jgss@21.0.6)
 964:             1            104  sun.security.provider.Sun (java.base@21.0.6)
 965:             1            104  sun.security.provider.certpath.ldap.JdkLDAP (java.naming@21.0.6)
 966:             1            104  sun.security.rsa.SunRsaSign (java.base@21.0.6)
 967:             1            104  sun.security.smartcardio.SunPCSC (java.smartcardio@21.0.6)
 968:             1            104  sun.security.ssl.SunJSSE (java.base@21.0.6)
 969:             1             96  [Lcom.fasterxml.jackson.core.JsonParser$Feature;
 970:             1             96  [Lcom.fasterxml.jackson.core.JsonParser$Feature;
 971:             2             96  [Lio.opentelemetry.sdk.metrics.data.MetricDataType;
 972:             2             96  [Ljava.lang.System$Logger$Level; (java.base@21.0.6)
 973:             4             96  [Lorg.apache.logging.log4j.Marker;
 974:             2             96  [Lorg.apache.logging.log4j.spi.StandardLevel;
 975:             3             96  [Lsun.nio.fs.NativeBuffer; (java.base@21.0.6)
 976:             1             96  [Lsun.util.locale.BaseLocale; (java.base@21.0.6)
 977:             3             96  [[Ljava.util.concurrent.atomic.AtomicReference; (java.base@21.0.6)
 978:             3             96  com.google.common.io.BaseEncoding$Base64Encoding
 979:             3             96  com.google.protobuf.DescriptorProtos$FeatureSet$EnforceNamingStyle
 980:             3             96  com.google.protobuf.DescriptorProtos$FeatureSet$EnumType
 981:             3             96  com.google.protobuf.DescriptorProtos$FeatureSet$JsonFormat
 982:             3             96  com.google.protobuf.DescriptorProtos$FeatureSet$MessageEncoding
 983:             3             96  com.google.protobuf.DescriptorProtos$FeatureSet$RepeatedFieldEncoding
 984:             3             96  com.google.protobuf.DescriptorProtos$FeatureSet$Utf8Validation
 985:             2             96  com.google.protobuf.DescriptorProtos$FeatureSetDefaults
 986:             3             96  com.google.protobuf.DescriptorProtos$FieldDescriptorProto$Label
 987:             3             96  com.google.protobuf.DescriptorProtos$FieldOptions$OptionRetention
 988:             3             96  com.google.protobuf.DescriptorProtos$FileOptions$OptimizeMode
 989:             2             96  com.google.protobuf.DescriptorProtos$ServiceDescriptorProto
 990:             4             96  com.google.protobuf.Descriptors$DescriptorPool
 991:             3             96  com.google.protobuf.JavaFeaturesProto$JavaFeatures$Utf8Validation
 992:             2             96  com.sun.management.internal.GarbageCollectorExtImpl (jdk.management@21.0.6)
 993:             2             96  com.sun.management.internal.GcInfoBuilder (jdk.management@21.0.6)
 994:             3             96  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap (java.xml@21.0.6)
 995:             3             96  com.sun.org.apache.xerces.internal.xni.QName (java.xml@21.0.6)
 996:             4             96  dev.openfeature.sdk.ProviderEvent
 997:             4             96  io.grpc.CallOptions$Key
 998:             4             96  io.grpc.ChannelLogger$ChannelLogLevel
 999:             4             96  io.grpc.InternalChannelz$ChannelTrace$Event$Severity
1000:             4             96  io.grpc.internal.ClientStreamListener$RpcProgress
1001:             6             96  io.grpc.internal.SharedResourcePool
1002:             1             96  io.grpc.internal.TransportTracer
1003:             4             96  io.grpc.netty.Utils$DefaultEventLoopGroupResource
1004:             3             96  io.netty.buffer.EmptyByteBuf
1005:             2             96  io.netty.channel.DefaultChannelPipeline
1006:             4             96  io.netty.channel.DefaultChannelPipeline$AddStrategy
1007:             3             96  io.netty.handler.codec.CodecOutputList$CodecOutputLists
1008:             3             96  io.netty.util.AttributeKey
1009:             4             96  io.netty.util.ResourceLeakDetector$Level
1010:             3             96  io.netty.util.concurrent.DefaultThreadFactory
1011:             6             96  io.netty.util.internal.ObjectPool$RecyclerObjectPool
1012:             3             96  io.opentelemetry.exporter.internal.http.HttpExporter
1013:             4             96  io.opentelemetry.exporter.internal.marshal.ProtoSerializer
1014:             3             96  io.opentelemetry.exporter.internal.marshal.StatelessMarshalerUtil$Grouper
1015:             3             96  io.opentelemetry.exporter.sender.okhttp.internal.RetryInterceptor
1016:             3             96  io.opentelemetry.javaagent.extension.instrumentation.internal.injection.InjectionMode
1017:             2             96  io.opentelemetry.javaagent.shaded.instrumentation.api.semconv.http.HttpClientAttributesExtractor
1018:             4             96  io.opentelemetry.javaagent.shaded.instrumentation.api.semconv.network.internal.ServerAddressAndPortExtractor
1019:             6             96  io.opentelemetry.sdk.metrics.internal.exemplar.HistogramExemplarReservoir$HistogramCellSelector
1020:             6             96  io.opentelemetry.sdk.metrics.internal.exemplar.LongToDoubleExemplarReservoir
1021:             4             96  io.opentelemetry.sdk.metrics.internal.view.ExplicitBucketHistogramAggregation$$Lambda/0x00007f5a8e2e4418
1022:             3             96  java.io.FileInputStream (java.base@21.0.6)
1023:             2             96  java.io.PrintStream (java.base@21.0.6)
1024:             3             96  java.lang.Runtime$Version (java.base@21.0.6)
1025:             4             96  java.lang.ThreadLocal$SuppliedThreadLocal (java.base@21.0.6)
1026:             2             96  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@21.0.6)
1027:             4             96  java.net.InterfaceAddress (java.base@21.0.6)
1028:             2             96  java.net.NetworkInterface (java.base@21.0.6)
1029:             1             96  java.net.URLClassLoader (java.base@21.0.6)
1030:             3             96  java.util.HexFormat (java.base@21.0.6)
1031:             4             96  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.6)
1032:             2             96  java.util.Locale$Category (java.base@21.0.6)
1033:             4             96  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.6)
1034:             6             96  java.util.concurrent.CountDownLatch (java.base@21.0.6)
1035:             4             96  java.util.concurrent.LinkedBlockingQueue$Node (java.base@21.0.6)
1036:             3             96  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater (java.base@21.0.6)
1037:             6             96  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock (java.base@21.0.6)
1038:             6             96  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter (java.base@21.0.6)
1039:             6             96  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock (java.base@21.0.6)
1040:             3             96  java.util.regex.Pattern$BnM (java.base@21.0.6)
1041:             2             96  java.util.regex.Pattern$GroupCurly (java.base@21.0.6)
1042:             4             96  java.util.regex.Pattern$Qtype (java.base@21.0.6)
1043:             4             96  java.util.regex.Pattern$Slice (java.base@21.0.6)
1044:             3             96  java.util.stream.MatchOps$MatchKind (java.base@21.0.6)
1045:             4             96  java.util.stream.StreamShape (java.base@21.0.6)
1046:             1             96  jdk.internal.jimage.ImageReader$SharedImageReader (java.base@21.0.6)
1047:             6             96  jdk.internal.loader.ClassLoaderValue (java.base@21.0.6)
1048:             3             96  jdk.internal.util.ClassFileDumper (java.base@21.0.6)
1049:             4             96  jdk.internal.util.OperatingSystem (java.base@21.0.6)
1050:             6             96  jdk.proxy1.$Proxy17 (jdk.proxy1)
1051:             3             96  net.bytebuddy.dynamic.scaffold.TypeWriter$MethodPool$Record$Sort
1052:             3             96  net.bytebuddy.implementation.bytecode.StackSize
1053:             4             96  net.bytebuddy.pool.TypePool$Default$LazyTypeDescription$TypeContainment$WithinMethod
1054:             4             96  net.bytebuddy.utility.RandomString
1055:             4             96  okhttp3.ConnectionSpec
1056:             3             96  okhttp3.MediaType
1057:             3             96  okhttp3.internal.concurrent.TaskQueue
1058:             4             96  okhttp3.internal.http1.HeadersReader
1059:             4             96  okhttp3.internal.http1.Http1ExchangeCodec$KnownLengthSink
1060:             2             96  org.apache.logging.log4j.core.lookup.RuntimeStrSubstitutor
1061:             3             96  org.apache.logging.log4j.core.pattern.MdcPatternConverter
1062:             4             96  org.apache.logging.log4j.util.LazyUtil$SafeLazy
1063:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo (java.base@21.0.6)
1064:             3             96  sun.nio.fs.NativeBuffer (java.base@21.0.6)
1065:             3             96  sun.util.resources.Bundles$CacheKey (java.base@21.0.6)
1066:             1             88  [Lnet.bytebuddy.matcher.ModifierMatcher$Mode;
1067:             1             88  io.grpc.netty.NettyChannelBuilder$NettyTransportFactory
1068:             1             88  io.opentelemetry.javaagent.bootstrap.AgentClassLoader$PlatformDelegatingClassLoader
1069:             1             88  io.opentelemetry.javaagent.tooling.HelperInjector$1
1070:             1             88  io.opentelemetry.sdk.logs.export.BatchLogRecordProcessor$Worker
1071:             1             88  io.opentelemetry.sdk.trace.export.BatchSpanProcessor$Worker
1072:             2             80  [F (java.base@21.0.6)
1073:             2             80  [Lio.grpc.health.v1.HealthCheckResponse$ServingStatus;
1074:             1             80  [Lio.netty.handler.codec.http.HttpMethod$EnumNameMap$Node;
1075:             2             80  [Lio.netty.handler.codec.http.HttpStatusClass;
1076:             1             80  [Lio.netty.handler.codec.http2.HpackEncoder$NameEntry;
1077:             1             80  [Lio.netty.handler.codec.http2.HpackEncoder$NameValueEntry;
1078:             2             80  [Lio.opentelemetry.api.trace.SpanKind;
1079:             2             80  [Lio.opentelemetry.javaagent.shaded.io.opentelemetry.api.trace.SpanKind;
1080:             2             80  [Ljava.lang.OutOfMemoryError; (java.base@21.0.6)
1081:             3             80  [Ljava.lang.reflect.Field; (java.base@21.0.6)
1082:             1             80  [Ljava.time.temporal.ChronoUnit; (java.base@21.0.6)
1083:             2             80  [Ljava.util.stream.StreamOpFlag$Type; (java.base@21.0.6)
1084:             2             80  [Lorg.apache.logging.log4j.core.util.datetime.FastDatePrinter$Rule;
1085:             2             80  [Lsun.security.jca.ProviderConfig; (java.base@21.0.6)
1086:             2             80  [[Ljava.lang.invoke.MethodHandle; (java.base@21.0.6)
1087:             1             80  com.fasterxml.jackson.core.JsonFactory
1088:             5             80  com.google.common.collect.SingletonImmutableList
1089:             2             80  com.google.protobuf.DescriptorProtos$EnumDescriptorProto$EnumReservedRange
1090:             2             80  com.google.protobuf.GeneratedMessage$FieldAccessorTable$SingularMessageFieldAccessor
1091:             5             80  com.google.protobuf.SmallSortedMap$EntrySet
1092:             2             80  io.grpc.internal.ChannelTracer
1093:             1             80  io.grpc.internal.DnsNameResolver
1094:             1             80  io.grpc.internal.MessageDeframer
1095:             2             80  io.netty.channel.AbstractChannelHandlerContext$WriteTask
1096:             2             80  io.netty.channel.AdaptiveRecvByteBufAllocator
1097:             1             80  io.netty.channel.AdaptiveRecvByteBufAllocator$HandleImpl
1098:             5             80  io.netty.channel.epoll.EpollEventLoop$1
1099:             2             80  io.netty.handler.codec.http2.DefaultHttp2RemoteFlowController$FlowState
1100:             1             80  io.opentelemetry.javaagent.shaded.instrumentation.api.internal.EmbeddedInstrumentationProperties$BootstrapProxy
1101:             5             80  io.opentelemetry.javaagent.tooling.TransformSafeLogger
1102:             2             80  io.opentelemetry.sdk.trace.AutoValue_SpanLimits_SpanLimitsValue
1103:             2             80  java.io.BufferedOutputStream (java.base@21.0.6)
1104:             2             80  java.io.BufferedWriter (java.base@21.0.6)
1105:             2             80  java.lang.ModuleLayer (java.base@21.0.6)
1106:             2             80  java.lang.invoke.VarHandleBooleans$FieldInstanceReadWrite (java.base@21.0.6)
1107:             2             80  java.lang.ref.NativeReferenceQueue (java.base@21.0.6)
1108:             5             80  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@21.0.6)
1109:             5             80  java.util.regex.Pattern$Begin (java.base@21.0.6)
1110:             2             80  jdk.internal.icu.impl.Trie2$UTrie2Header (java.base@21.0.6)
1111:             2             80  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer (java.base@21.0.6)
1112:             5             80  jdk.proxy2.$Proxy13 (jdk.proxy2)
1113:             5             80  net.bytebuddy.description.type.TypeDescription$LazyProxy
1114:             2             80  net.bytebuddy.implementation.bytecode.member.FieldAccess
1115:             5             80  net.bytebuddy.matcher.MethodSortMatcher
1116:             1             80  net.bytebuddy.utility.dispatcher.JavaDispatcher$DynamicClassLoader
1117:             2             80  okhttp3.CacheControl
1118:             5             80  okhttp3.Headers
1119:             5             80  org.apache.logging.log4j.core.lookup.StrMatcher$CharMatcher
1120:             2             80  org.apache.logging.log4j.core.util.WatchManager
1121:             5             80  org.apache.logging.log4j.core.util.datetime.FastDatePrinter$CharacterLiteral
1122:             2             80  sun.management.MemoryManagerImpl (java.management@21.0.6)
1123:             1             80  sun.util.cldr.CLDRLocaleProviderAdapter (java.base@21.0.6)
1124:             2             80  sun.util.locale.provider.LocaleResources (java.base@21.0.6)
1125:             1             72  [Lcom.fasterxml.jackson.core.JsonGenerator$Feature;
1126:             1             72  [Lcom.fasterxml.jackson.core.JsonGenerator$Feature;
1127:             2             72  [Lcom.google.common.collect.ImmutableMapEntry;
1128:             4             72  [Lio.netty.util.AsciiString;
1129:             3             72  [Ljava.net.InetAddress; (java.base@21.0.6)
1130:             1             72  [Ljavax.management.openmbean.SimpleType; (java.management@21.0.6)
1131:             1             72  [Lnet.bytebuddy.description.annotation.AnnotationValue$Sort;
1132:             1             72  [Lorg.apache.logging.log4j.core.pattern.LogEventPatternConverter;
1133:             3             72  com.fasterxml.jackson.core.Base64Variant$PaddingReadBehaviour
1134:             1             72  com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer
1135:             3             72  com.google.protobuf.Descriptors$DescriptorPool$SearchFilter
1136:             3             72  com.google.protobuf.Descriptors$FieldDescriptor$Sensitivity
1137:             3             72  com.google.protobuf.Extension$ExtensionType
1138:             3             72  com.google.protobuf.MapField$StorageMode
1139:             3             72  dev.openfeature.sdk.internal.AutoCloseableReentrantReadWriteLock
1140:             3             72  io.grpc.Context
1141:             3             72  io.grpc.SecurityLevel
1142:             3             72  io.grpc.ServerMethodDefinition
1143:             3             72  io.grpc.TlsChannelCredentials$Feature
1144:             3             72  io.grpc.TlsServerCredentials$Feature
1145:             1             72  io.grpc.internal.ClientCallImpl
1146:             3             72  io.grpc.internal.ManagedChannelImpl$ResolutionState
1147:             1             72  io.grpc.internal.MessageFramer
1148:             3             72  io.grpc.internal.SharedResourceHolder$Instance
1149:             3             72  io.grpc.netty.NegotiationType
1150:             3             72  io.grpc.stub.ClientCalls$StubType
1151:             3             72  io.grpc.stub.ServerCalls$UnaryServerCallHandler
1152:             3             72  io.netty.buffer.UnreleasableByteBuf
1153:             3             72  io.netty.channel.ChannelMetadata
1154:             3             72  io.netty.channel.SucceededChannelFuture
1155:             1             72  io.netty.channel.epoll.EpollServerSocketChannelConfig
1156:             3             72  io.netty.handler.codec.http2.HpackDecoder$HeaderType
1157:             3             72  io.netty.handler.codec.http2.HpackUtil$IndexType
1158:             3             72  io.netty.handler.codec.http2.Http2Exception$ShutdownHint
1159:             3             72  io.netty.util.concurrent.PromiseTask$SentinelRunnable
1160:             3             72  io.opentelemetry.exporter.internal.TlsConfigHelper
1161:             1             72  io.opentelemetry.javaagent.shaded.instrumentation.api.instrumenter.PropagatingFromUpstreamInstrumenter
1162:             1             72  io.opentelemetry.javaagent.shaded.instrumentation.api.instrumenter.PropagatingToDownstreamInstrumenter
1163:             3             72  io.opentelemetry.javaagent.shaded.instrumentation.api.internal.cache.concurrentlinkedhashmap.LinkedDeque
1164:             3             72  io.opentelemetry.javaagent.shaded.instrumentation.netty.v4.common.internal.client.NettyConnectionInstrumentationFlag
1165:             3             72  io.opentelemetry.javaagent.shaded.instrumentation.runtimemetrics.java8.internal.CpuMethods$$Lambda/0x00007f5a8e2d9c20
1166:             3             72  io.opentelemetry.javaagent.shaded.io.opentelemetry.api.baggage.propagation.Parser$State
1167:             3             72  io.opentelemetry.javaagent.shaded.io.opentelemetry.api.trace.StatusCode
1168:             3             72  io.opentelemetry.javaagent.shaded.io.opentelemetry.context.internal.shaded.WeakConcurrentMap$LookupKey
1169:             3             72  io.opentelemetry.sdk.internal.ScopeConfiguratorBuilder
1170:             3             72  io.opentelemetry.sdk.logs.ExtendedSdkLogger
1171:             3             72  io.opentelemetry.sdk.metrics.internal.view.ExplicitBucketHistogramAggregation
1172:             3             72  io.opentelemetry.sdk.trace.SdkSpan$EndState
1173:             3             72  io.opentelemetry.sdk.trace.data.AutoValue_ImmutableStatusData
1174:             3             72  io.opentelemetry.sdk.trace.samplers.AutoValue_ImmutableSamplingResult
1175:             3             72  io.opentelemetry.sdk.trace.samplers.SamplingDecision
1176:             3             72  java.io.ByteArrayOutputStream (java.base@21.0.6)
1177:             3             72  java.io.OutputStreamWriter (java.base@21.0.6)
1178:             3             72  java.lang.ProcessImpl$LaunchMechanism (java.base@21.0.6)
1179:             3             72  java.lang.StackStreamFactory$WalkerState (java.base@21.0.6)
1180:             3             72  java.lang.StackWalker$Option (java.base@21.0.6)
1181:             3             72  java.lang.WeakPairMap (java.base@21.0.6)
1182:             3             72  java.lang.annotation.RetentionPolicy (java.base@21.0.6)
1183:             3             72  java.lang.invoke.MethodHandleImpl$ArrayAccess (java.base@21.0.6)
1184:             3             72  java.net.Proxy$Type (java.base@21.0.6)
1185:             3             72  java.net.Socket$SocketInputStream (java.base@21.0.6)
1186:             3             72  java.net.Socket$SocketOutputStream (java.base@21.0.6)
1187:             3             72  java.net.StandardProtocolFamily (java.base@21.0.6)
1188:             3             72  java.security.SecurityPermission (java.base@21.0.6)
1189:             3             72  java.time.Instant (java.base@21.0.6)
1190:             3             72  java.time.LocalDate (java.base@21.0.6)
1191:             3             72  java.time.ZoneOffset (java.base@21.0.6)
1192:             3             72  java.util.Comparators$NullComparator (java.base@21.0.6)
1193:             3             72  java.util.LinkedHashMap$LinkedValues (java.base@21.0.6)
1194:             3             72  java.util.concurrent.locks.ReentrantReadWriteLock (java.base@21.0.6)
1195:             3             72  java.util.stream.Collector$Characteristics (java.base@21.0.6)
1196:             3             72  java.util.zip.ZipCoder$Comparison (java.base@21.0.6)
1197:             3             72  jdk.internal.math.FloatingDecimal$ExceptionalBinaryToASCIIBuffer (java.base@21.0.6)
1198:             3             72  jdk.internal.misc.Signal (java.base@21.0.6)
1199:             3             72  net.bytebuddy.description.annotation.AnnotationValue$ForConstant
1200:             3             72  net.bytebuddy.description.annotation.AnnotationValue$State
1201:             3             72  okhttp3.Route
1202:             3             72  okio.AsyncTimeout$sink$1
1203:             3             72  okio.AsyncTimeout$source$1
1204:             3             72  okio.InputStreamSource
1205:             3             72  okio.OutputStreamSink
1206:             3             72  okio.RealBufferedSource
1207:             3             72  sun.instrument.TransformerManager$TransformerInfo (java.instrument@21.0.6)
1208:             1             72  sun.net.www.protocol.jar.JarURLConnection (java.base@21.0.6)
1209:             3             72  sun.nio.ch.Util$BufferCache (java.base@21.0.6)
1210:             3             72  sun.nio.fs.NativeBuffer$Deallocator (java.base@21.0.6)
1211:             3             72  sun.security.provider.NativePRNG$Variant (java.base@21.0.6)
1212:             1             64  [Lcom.fasterxml.jackson.dataformat.yaml.YAMLGenerator$Feature;
1213:             2             64  [Lcom.google.protobuf.DescriptorProtos$FeatureSet$EnforceNamingStyle;
1214:             2             64  [Lcom.google.protobuf.DescriptorProtos$FeatureSet$EnumType;
1215:             2             64  [Lcom.google.protobuf.DescriptorProtos$FeatureSet$FieldPresence;
1216:             2             64  [Lcom.google.protobuf.DescriptorProtos$FeatureSet$JsonFormat;
1217:             2             64  [Lcom.google.protobuf.DescriptorProtos$FeatureSet$MessageEncoding;
